id,description,score
CVE-1999-0568,rpc.admind in Solaris is not running in a secure mode.,10.0
CVE-1999-0590,A system does not present an appropriate legal message or warning to a user who is accessing it.,10.0
CVE-1999-0626,A version of rusers is running that exposes valid user information to any entity on the network.,0.0
CVE-1999-0674,The BSD profil system call allows a local user to modify the internal data space of a program via profiling and execve.,7.2
CVE-1999-0676,sdtcm_convert in Solaris 2.6 allows a local user to overwrite sensitive files via a symlink attack.,4.6
CVE-1999-0687,"The ToolTalk ttsession daemon uses weak RPC authentication, which allows a remote attacker to execute commands.",7.5
CVE-1999-0689,The CDE dtspcd daemon allows local users to execute arbitrary commands via a symlink attack.,7.2
CVE-1999-0691,Buffer overflow in the AddSuLog function of the CDE dtaction utility allows local users to gain root privileges via a long user name.,7.2
CVE-1999-0696,Buffer overflow in CDE Calendar Manager Service Daemon (rpc.cmsd).,10.0
CVE-1999-0722,The default configuration of Cobalt RaQ2 servers allows remote users to install arbitrary software packages.,10.0
CVE-1999-0767,"Buffer overflow in Solaris libc, ufsrestore, and rcp via LC_MESSAGES environmental variable.",7.2
CVE-1999-0773,Buffer overflow in Solaris lpset program allows local users to gain root access.,7.2
CVE-1999-0786,The dynamic linker in Solaris allows a local user to create arbitrary files via the LD_PROFILE environmental variable and a symlink attack.,4.6
CVE-1999-0795,"The NIS+ rpc.nisd server allows remote attackers to execute certain RPC calls without authentication to obtain system information, disable logging, or modify caches.",7.5
CVE-1999-0797,"NIS finger allows an attacker to conduct a denial of service via a large number of finger requests, resulting in a large number of NIS queries.",2.6
CVE-1999-0801,BMC Patrol allows remote attackers to gain access to an agent by spoofing frames.,10.0
CVE-1999-0806,Buffer overflow in Solaris dtprintinfo program.,7.2
CVE-1999-0818,Buffer overflow in Solaris kcms_configure via a long NETPATH environmental variable.,7.2
CVE-1999-0831,Denial of service in Linux syslogd via a large number of connections.,5.0
CVE-1999-0833,Buffer overflow in BIND 8.2 via NXT records.,7.5
CVE-1999-0835,Denial of service in BIND named via malformed SIG records.,10.0
CVE-1999-0837,Denial of service in BIND by improperly closing TCP sessions via so_linger.,10.0
CVE-1999-0840,Buffer overflow in CDE dtmail and dtmailpr programs allows local users to gain privileges via a long -f option.,7.2
CVE-1999-0841,Buffer overflow in CDE mailtool allows local users to gain root privileges via a long MIME Content-Type.,7.2
CVE-1999-0848,"Denial of service in BIND named via consuming more than ""fdmax"" file descriptors.",5.0
CVE-1999-0851,Denial of service in BIND named via naptr.,2.1
CVE-1999-0859,"Solaris arp allows local users to read files via the -f parameter, which lists lines in the file that do not parse properly.",2.1
CVE-1999-0860,Solaris chkperm allows local users to read files owned by bin via the VMSYS environmental variable and a symlink attack.,2.1
CVE-1999-0868,ucbmail allows remote attackers to execute commands via shell metacharacters that are passed to it from INN.,7.2
CVE-1999-0875,DHCP clients with ICMP Router Discovery Protocol (IRDP) enabled allow remote attackers to modify their default routes.,7.5
CVE-1999-0897,iChat ROOMS Webserver allows remote attackers to read arbitrary files via a .. (dot dot) attack.,5.0
CVE-1999-0908,Denial of service in Solaris TCP streams driver via a malicious connection that causes the server to panic as a result of recursive calls to mutex_enter.,5.0
CVE-1999-0921,"BMC Patrol allows any remote attacker to flood its UDP port, causing a denial of service.",5.0
CVE-1999-0948,Buffer overflow in uum program for Canna input system allows local users to gain root privileges.,7.2
CVE-1999-0949,Buffer overflow in canuum program for Canna input system allows local users to gain root privileges.,7.2
CVE-1999-0952,Buffer overflow in Solaris lpstat via class argument allows local users to gain root access.,7.2
CVE-1999-0966,Buffer overflow in Solaris getopt in libc allows local users to gain root privileges via a long argv[0].,7.2
CVE-1999-0973,Buffer overflow in Solaris snoop program allows remote attackers to gain root privileges via a long domain name when snoop is running in verbose mode.,10.0
CVE-1999-0974,Buffer overflow in Solaris snoop allows remote attackers to gain root privileges via GETQUOTA requests to the rpc.rquotad service.,10.0
CVE-1999-0977,Buffer overflow in Solaris sadmind allows remote attackers to gain root privileges using a NETMGT_PROC_SERVICE request.,10.0
CVE-1999-0982,The Sun Web-Based Enterprise Management (WBEM) installation script stores a password in plaintext in a world readable file.,7.2
CVE-1999-1012,"SMTP component of Lotus Domino 4.6.1 on AS/400, and possibly other operating systems, allows a remote attacker to crash the mail server via a long string.",5.0
CVE-1999-1014,Buffer overflow in mail command in Solaris 2.7 and 2.7 allows local users to gain privileges via a long -m argument.,4.6
CVE-1999-1015,Buffer overflow in Apple AppleShare Mail Server 5.0.3 on MacOS 8.1 and earlier allows a remote attacker to cause a denial of service (crash) via a long HELO command.,5.0
CVE-1999-1021,"NFS on SunOS 4.1 through 4.1.2 ignores the high order 16 bits in a 32 bit UID, which allows a local user to gain root access if the lower 16 bits are set to 0, as fixed by the NFS jumbo patch upgrade.",7.2
CVE-1999-1023,"useradd in Solaris 7.0 does not properly interpret certain date formats as specified in the ""-e"" (expiration date) argument, which could allow users to login after their accounts have expired.",4.6
CVE-1999-1025,"CDE screen lock program (screenlock) on Solaris 2.6 does not properly lock an unprivileged user's console session when the host is an NIS+ client, which allows others with physical access to login with any string.",4.6
CVE-1999-1026,aspppd on Solaris 2.5 x86 allows local users to modify arbitrary files and gain root privileges via a symlink attack on the /tmp/.asppp.fifo file.,7.2
CVE-1999-1027,"Solaris 2.6 HW3/98 installs admintool with world-writable permissions, which allows local users to gain privileges by replacing it with a Trojan horse program.",7.2
CVE-1999-1076,"Idle locking function in MacOS 9 allows local users to bypass the password protection of idled sessions by selecting the ""Log Out"" option and selecting a ""Cancel"" option in the dialog box for an application that attempts to verify that the user wants to log out, which returns the attacker into the locked session.",4.6
CVE-1999-1077,"Idle locking function in MacOS 9 allows local attackers to bypass the password protection of idled sessions via the programmer's switch or CMD-PWR keyboard sequence, which brings up a debugger that the attacker can use to disable the lock.",4.6
CVE-1999-1080,"rmmount in SunOS 5.7 may mount file systems without the nosuid flag set, contrary to the documentation and its use in previous versions of SunOS, which could allow local users with physical access to gain root privileges by mounting a floppy or CD-ROM that contains a setuid program and running volcheck, when the file systems do not have the nosuid option specified in rmmount.conf.",7.2
CVE-1999-1090,"The default configuration of NCSA Telnet package for Macintosh and PC enables FTP, even though it does not include an ""ftp=yes"" line, which allows remote attackers to read and modify arbitrary files.",7.5
CVE-1999-1102,"lpr on SunOS 4.1.1, BSD 4.3, A/UX 2.0.1, and other BSD-based operating systems allows local users to create or overwrite arbitrary files via a symlink attack that is triggered after invoking lpr 1000 times.",2.1
CVE-1999-1118,ndd in Solaris 2.6 allows local users to cause a denial of service by modifying certain TCP/IP parameters.,2.1
CVE-1999-1122,Vulnerability in restore in SunOS 4.0.3 and earlier allows local users to gain privileges.,4.6
CVE-1999-1123,The installation of Sun Source (sunsrc) tapes allows local users to gain root privileges via setuid root programs (1) makeinstall or (2) winstall.,7.2
CVE-1999-1137,"The permissions for the /dev/audio device on Solaris 2.2 and earlier, and SunOS 4.1.x, allow any local user to read from the device, which could be used by an attacker to monitor conversations happening near a machine that has a microphone.",2.1
CVE-1999-1142,"SunOS 4.1.2 and earlier allows local users to gain privileges via ""LD_*"" environmental variables to certain dynamically linked setuid or setgid programs such as (1) login, (2) su, or (3) sendmail, that change the real and effective user ids to the same user.",7.2
CVE-1999-1147,"Buffer overflow in Platinum Policy Compliance Manager (PCM) 7.0 allows remote attackers to execute arbitrary commands via a long string to the Agent port (1827), which is handled by smaxagent.exe.",7.5
CVE-1999-1158,"Buffer overflow in (1) pluggable authentication module (PAM) on Solaris 2.5.1 and 2.5 and (2) unix_scheme in Solaris 2.4 and 2.3 allows local users to gain root privileges via programs that use these modules such as passwd, yppasswd, and nispasswd.",7.2
CVE-1999-1170,"IPswitch IMail allows local users to gain additional privileges and modify or add mail accounts by setting the ""flags"" registry key to 1920.",4.6
CVE-1999-1171,"IPswitch WS_FTP allows local users to gain additional privileges and modify or add mail accounts by setting the ""flags"" registry key to 1920.",4.6
CVE-1999-1191,Buffer overflow in chkey in Solaris 2.5.1 and earlier allows local users to gain root privileges via a long command line argument.,7.2
CVE-1999-1192,Buffer overflow in eeprom in Solaris 2.5.1 and earlier allows local users to gain root privileges via a long command line argument.,7.2
CVE-1999-1197,"TIOCCONS in SunOS 4.1.1 does not properly check the permissions of a user who tries to redirect console output and input, which could allow a local user to gain privileges.",7.2
CVE-1999-1211,Vulnerability in in.telnetd in SunOS 4.1.1 and earlier allows local users to gain root privileges.,7.2
CVE-1999-1212,Vulnerability in in.rlogind in SunOS 4.0.3 and 4.0.3c allows local users to gain root privileges.,7.2
CVE-1999-1225,"rpc.mountd on Linux, Ultrix, and possibly other operating systems, allows remote attackers to determine the existence of a file on the server by attempting to mount that file, which generates different error messages depending on whether the file exists or not.",5.0
CVE-1999-1258,"rpc.pwdauthd in SunOS 4.1.1 and earlier does not properly prevent remote access to the daemon, which allows remote attackers to obtain sensitive system information.",5.0
CVE-1999-1297,cmdtool in OpenWindows 3.0 and XView 3.0 in SunOS 4.1.4 and earlier allows attackers with physical access to the system to display unechoed characters (such as those from password prompts) via the L2/AGAIN key.,2.1
CVE-1999-1318,"/usr/5bin/su in SunOS 4.1.3 and earlier uses a search path that includes the current working directory (.), which allows local users to gain privileges via Trojan horse programs.",7.2
CVE-1999-1371,Buffer overflow in /usr/bin/write in Solaris 2.6 and 7 allows local users to gain privileges via a long string in the terminal name argument.,7.2
CVE-1999-1373,"FORE PowerHub before 5.0.1 allows remote attackers to cause a denial of service (hang) via a TCP SYN scan with TCP/IP OS fingerprinting, e.g. via nmap.",5.0
CVE-1999-1388,passwd in SunOS 4.1.x allows local users to overwrite arbitrary files via a symlink attack and the -F command line argument.,6.2
CVE-1999-1393,"Control Panel ""Password Security"" option for Apple Powerbooks allows attackers with physical access to the machine to bypass the security by booting it with an emergency startup disk and using a disk editor to modify the on/off toggle or password in the aaaaaaaAPWD file, which is normally inaccessible.",4.6
CVE-1999-1396,Vulnerability in integer multiplication emulation code on SPARC architectures for SunOS 4.1 through 4.1.2 allows local users to gain root access or cause a denial of service (crash).,7.2
CVE-1999-1402,"The access permissions for a UNIX domain socket are ignored in Solaris 2.x and SunOS 4.x, and other BSD-based operating systems before 4.4, which could allow local users to connect to the socket and possibly disrupt or control the operations of the program using that socket.",2.1
CVE-1999-1412,"A possible interaction between Apple MacOS X release 1.0 and Apache HTTP server allows remote attackers to cause a denial of service (crash) via a flood of HTTP GET requests to CGI programs, which generates a large number of processes.",10.0
CVE-1999-1413,"Solaris 2.4 before kernel jumbo patch -35 allows set-gid programs to dump core even if the real user id is not in the set-gid group, which allows local users to overwrite or create files at higher privileges by causing a core dump, e.g. through dmesg.",4.6
CVE-1999-1419,Buffer overflow in nss_nisplus.so.1 library in NIS+ in Solaris 2.3 and 2.4 allows local users to gain root privileges.,7.2
CVE-1999-1423,"ping in Solaris 2.3 through 2.6 allows local users to cause a denial of service (crash) via a ping request to a multicast address through the loopback interface, e.g. via ping -i.",2.1
CVE-1999-1424,"Solaris Solstice AdminSuite (AdminSuite) 2.1 uses unsafe permissions when adding new users to the NIS+ password table, which allows local users to gain root access by modifying their password table entries.",6.2
CVE-1999-1425,"Solaris Solstice AdminSuite (AdminSuite) 2.1 incorrectly sets write permissions on source files for NIS maps, which could allow local users to gain privileges by modifying /etc/passwd.",6.2
CVE-1999-1426,"Solaris Solstice AdminSuite (AdminSuite) 2.1 follows symbolic links when updating an NIS database, which allows local users to overwrite arbitrary files.",6.2
CVE-1999-1427,"Solaris Solstice AdminSuite (AdminSuite) 2.1 and 2.2 create lock files insecurely, which allows local users to gain root privileges.",6.2
CVE-1999-1428,"Solaris Solstice AdminSuite (AdminSuite) 2.1 and 2.2 allows local users to gain privileges via the save option in the Database Manager, which is running with setgid bin privileges.",6.2
CVE-1999-1432,"Power management (Powermanagement) on Solaris 2.4 through 2.6 does not start the xlock process until after the sys-suspend has completed, which allows an attacker with physical access to input characters to the last active application from the keyboard for a short period after the system is restoring, which could lead to increased privileges.",7.5
CVE-1999-1438,Vulnerability in /bin/mail in SunOS 4.1.1 and earlier allows local users to gain root privileges via certain command line arguments.,7.2
CVE-1999-1449,SunOS 4.1.4 on a Sparc 20 machine allows local users to cause a denial of service (kernel panic) by reading from the /dev/tcx0 TCX device.,2.1
CVE-1999-1459,BMC PATROL Agent before 3.2.07 allows local users to gain root privileges via a symlink attack on a temporary file.,7.2
CVE-1999-1460,BMC PATROL SNMP Agent before 3.2.07 allows local users to create arbitrary world-writeable files as root by specifying the target file as the second argument to the snmpmagt program.,7.2
CVE-1999-1467,"Vulnerability in rcp on SunOS 4.0.x allows remote attackers from trusted hosts to execute arbitrary commands as root, possibly related to the configuration of the nobody user.",10.0
CVE-1999-1468,"rdist in various UNIX systems uses popen to execute sendmail, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable.",6.2
CVE-1999-1503,Network Flight Recorder (NFR) 1.5 and 1.6 allows remote attackers to cause a denial of service in nfrd (crash) via a TCP packet with a null header and data field.,5.0
CVE-1999-1506,"Vulnerability in SMI Sendmail 4.0 and earlier, on SunOS up to 4.0.3, allows remote attackers to access user bin.",7.5
CVE-1999-1507,Sun SunOS 4.1 through 4.1.3 allows local attackers to gain root access via insecure permissions on files and directories such as crash.,7.2
CVE-1999-1527,"Internal HTTP server in Sun Netbeans Java IDE in Netbeans Developer 3.0 Beta and Forte Community Edition 1.0 Beta does not properly restrict access to IP addresses as specified in its configuration, which allows arbitrary remote attackers to access the server.",7.5
CVE-1999-1530,"cgiwrap as used on Cobalt RaQ 2.0 and RaQ 3i does not properly identify the user for running certain scripts, which allows a malicious site administrator to view or modify data located at another virtual site on the same system.",3.6
CVE-1999-1543,MacOS uses weak encryption for passwords that are stored in the Users & Groups Data File.,4.6
CVE-1999-1580,"SunOS sendmail 5.59 through 5.65 uses popen to process a forwarding host argument, which allows local users to gain root privileges by modifying the IFS (Internal Field Separator) variable and passing crafted values to the -oR option.",7.2
CVE-1999-1584,"Unknown vulnerability in (1) loadmodule, and (2) modload if modload is installed with setuid/setgid privileges, in SunOS 4.1.1 through 4.1.3c, and Open Windows 3.0, allows local users to gain root privileges via environment variables, a different vulnerability than CVE-1999-1586.",10.0
CVE-1999-1585,"The (1) rcS and (2) mountall programs in Sun Solaris 2.x, possibly before 2.4, start a privileged shell on the system console if fsck fails while the system is booting, which allows attackers with physical access to gain root privileges.",7.2
CVE-1999-1586,"loadmodule in SunOS 4.1.x, as used by xnews, does not properly sanitize its environment, which allows local users to gain privileges, a different vulnerability than CVE-1999-1584.",7.2
CVE-1999-1587,"/usr/ucb/ps in Sun Microsystems Solaris 8 and 9, and certain earlier releases, allows local users to view the environment variables and values of arbitrary processes via the -e option.",2.1
CVE-1999-1588,"Buffer overflow in nlps_server in Sun Solaris x86 2.4, 2.5, and 2.5.1 allows remote attackers to execute arbitrary code as root via a long string beginning with ""NLPS:002:002:"" to the listen (aka System V listener) port, TCP port 2766.",10.0
CVE-1999-1592,"Multiple unspecified vulnerabilities in sendmail 5, as installed on Sun SunOS 4.1.3_U1 and 4.1.4, have unspecified attack vectors and impact.  NOTE: this might overlap CVE-1999-0129.",7.5
CVE-2000-0021,Lotus Domino HTTP server allows remote attackers to determine the real path of the server via a request to a non-existent script in /cgi-bin.,5.0
CVE-2000-0022,Lotus Domino HTTP server does not properly disable anonymous access for the cgi-bin directory.,5.0
CVE-2000-0023,Buffer overflow in Lotus Domino HTTP server allows remote attackers to cause a denial of service via a long URL.,5.0
CVE-2000-0030,Solaris dmispd dmi_cmd allows local users to fill up restricted disk space by adding files to the /var/dmi/db database.,5.0
CVE-2000-0032,Solaris dmi_cmd allows local users to crash the dmispd daemon by adding a malformed file to the /var/dmi/db database.,10.0
CVE-2000-0041,"Macintosh systems generate large ICMP datagrams in response to malformed datagrams, allowing them to be used as amplifiers in a flood attack.",5.0
CVE-2000-0055,Buffer overflow in Solaris chkperm command allows local users to gain root access via a long -n option.,7.2
CVE-2000-0069,The recover program in Solstice Backup allows local users to restore sensitive files.,2.1
CVE-2000-0117,"The siteUserMod.cgi program in Cobalt RaQ2 servers allows any Site Administrator to modify passwords for other users, site administrators, and possibly admin (root).",7.2
CVE-2000-0118,"The Red Hat Linux su program does not log failed password guesses if the su process is killed before it times out, which allows local attackers to conduct brute force password guessing.",7.2
CVE-2000-0127,"The Webspeed configuration program does not properly disable access to the WSMadmin utility, which allows remote attackers to gain privileges via wsisa.dll.",7.5
CVE-2000-0164,The installation of Sun Internet Mail Server (SIMS) creates a world-readable file that allows local users to obtain passwords.,7.2
CVE-2000-0174,StarOffice StarScheduler web server allows remote attackers to read arbitrary files via a .. (dot dot) attack.,5.0
CVE-2000-0175,Buffer overflow in StarOffice StarScheduler web server allows remote attackers to gain root access via a long GET command.,10.0
CVE-2000-0210,"The lit program in Sun Flex License Manager (FlexLM) follows symlinks, which allows local users to modify arbitrary files.",1.2
CVE-2000-0234,The default configuration of Cobalt RaQ2 and RaQ3 as specified in access.conf allows remote attackers to view sensitive contents of a .htaccess file.,5.0
CVE-2000-0291,Buffer overflow in Star Office 5.1 allows attackers to cause a denial of service by embedding a long URL within a document.,4.6
CVE-2000-0299,Buffer overflow in WebObjects.exe in the WebObjects Developer 4.5 package allows remote attackers to cause a denial of service via an HTTP request with long headers such as Accept.,5.0
CVE-2000-0316,Buffer overflow in Solaris 7 lp allows local users to gain root privileges via a long -d option.,7.2
CVE-2000-0317,Buffer overflow in Solaris 7 lpset allows local users to gain root privileges via a long -r option.,7.2
CVE-2000-0320,"Qpopper 2.53 and 3.0 does not properly identify the \n string which identifies the end of message text, which allows a remote attacker to cause a denial of service or corrupt mailboxes via a message line that is 1023 characters long and ends in \n.",5.0
CVE-2000-0337,Buffer overflow in Xsun X server in Solaris 7 allows local users to gain root privileges via a long -dev parameter.,7.2
CVE-2000-0346,AppleShare IP 6.1 and later allows a remote attacker to read potentially sensitive information via an invalid range request to the web server.,5.0
CVE-2000-0407,Buffer overflow in Solaris netpr program allows local users to execute arbitrary commands via a long -p option.,7.2
